question,answer,category
"Я потерял данные для входа в личный кабинет, что делать?","Для восстановления учетных данных (логин/пароль) Вы можете обратиться лично в Студенческий офис (каб.107). Для удалённого восстановления Вы можете воспользоваться функцией сброса пароля с помощью кнопки «Забыли логин и пароль». При возникновении трудностей, необходимо написать заявку в Центр поддержки",support-login
"Доступ к учебным материалам в личном кабинете заблокирован, что делать?","Необходимо убедиться в отсутствии финансовой задолженности в разделе «Финансовый отчет» в личном кабинете. Если задолженности нет, необходимо написать заявку в Центр поддержки",support-access
"Что такое «Почта студента»?","Данный почтовый адрес используется Университетом для связи с Вами – отправки официальных извещений. Чтобы зайти в почту студента, в Вашем личном кабинете в левом меню выберите раздел «Почта студента». В этом момент Вы будете автоматически перенаправлены на сервис Google (если у Вас уже есть личная почта на этом сервисе, из неё нужно выйти). Логин и пароль от почты студента такие же, как для входа в личной кабинет.",email-support
"Я не могу зайти на почту, выскакивает сообщение «Неправильный логин или пароль»","Если данный логин и пароль подходит к другим сервисам Университета, но при этом не открывает почту, возможно, при вводе логина Вы не указали расширение @online.muiv.ru. Внесите эти данные после цифрового значения и попробуйте еще раз. Если проблема сохранилась, необходимо написать заявку в Центр поддержки",email-support
"Когда нужно оплачивать за обучение в следующем семестре?","Порядок и сроки оплаты обучения определены Вашим договором, внимательно прочтите его.\nСогласно договору, оплатить обучение необходимо не позднее 30 декабря (за весенний семестр) и 30 мая (за осенний семестр).\nКвитанции на оплату в обязательном порядке рассылаются всем студентам Университета до начала семестра. Кроме этого квитанцию возможно получить следующими способами:\n- в личном кабинете в левом меню раздел «Оплата обучения», в нем можно сформировать квитанцию самостоятельно и оплатить обучение он-лайн.\n- через заявку в Центр поддержки;\n- при личном обращении в студенческий офис (107 каб.)",payment-deadline
"Может ли измениться стоимость обучения?","В договоре об оказании платных образовательных услуг по основным профессиональным программам высшего образования/ программам среднего профессионального образования в разделе «Стоимость и порядок оплаты услуг», указано, что Исполнитель вправе на основании п. 3 ст.54 № 273-ФЗ от 29.12.2012г. «Об образовании в Российской Федерации» увеличить стоимость платных образовательных услуг с учетом уровня инфляции, предусмотренного основными характеристиками федерального бюджета на очередной финансовый год и плановый период, от стоимости, оплаченной Обучающимся за предыдущий период обучения Обучающегося в рамках календарного года.",payment-tuition-changes
"Куда обратиться для получения скидки на оплату обучения?","Для получения скидки необходимо строго до начала семестра представить на рассмотрение заявление с соответствующим пакетом документов. Представление документов возможно лично в студенческом офисе (107 каб.) или через заявку в Центре поддержки.\nО размере представленной скидки и сроках её действия Вы можете уточнить у менеджера студенческого офиса. Если заявление было направлено через заявку в Центре поддержки, то информацию о предоставленной скидке Вы получите в ответе на свой запрос.\nВНИМАНИЕ! Скидка предоставляется на 1 семестр, поэтому подавать документы необходимо перед началом каждого семестра.",payment-discount
"Если я получил уведомление о наличии задолженности по оплате?","Финансовая задолженность может стать основанием для отчисления. При получении уведомления уточнить дальнейшие действия необходимо через Центр Поддержки.",payment-finance-debt
"Как мне проверить есть ли у меня финансовая задолженность?","Вам необходимо зайти в личный кабинет и в разделе «Оплата обучения» сформировать финансовый отчет. В финансовом отчете отображены все денежные поступления и текущая финансовая задолженность (при наличии). Если у Вас обнаружилась финансовая задолженность, с которой Вы не согласны, Вам необходимо через заявку Центр Поддержки прислать скан-копии всех оплаченных квитанций.",payment-finance-debt
"У меня была финансовая задолженность, и мне заблокирован доступ к личному кабинету. Я уже оплатил задолженность, как быстро мне будет разблокирован доступ?","Доступ к учебным материалам в личном кабинете открывается автоматически при полностью оплаченном обучении за текущий семестр. Если оплата была произведена в кассе Университета, то сумма сразу поступает на счет, доступ разблокируется в течение суток. Если оплату производилась через отделение банка или по безналичному переводу, срок поступления средств может достигать двух недель. Просим Вас своевременно оплачивать обучение (не позднее 30 декабря за весенний семестр и 30 мая за осенний семестр).",payment-finance-debt
"Что включает в себя процесс обучения?","Процесс обучения студента реализуется согласно учебному плану, составленному для каждого направления подготовки (специальности) с применением балльно-рейтинговой системы. Этот план разбит по семестрам и в каждом семестре предусмотрено изучение определенного числа дисциплин с последующей сдачей по ним зачета или экзамена. По дисциплинам может быть предусмотрена подготовка контрольных и курсовых работ, сдача тестов и др. контрольные мероприятия. Сроки выполнения того или иного вида работ указаны рядом с дисциплиной. Также в процессе обучения студент проходит практику.\nУчебный год в университете состоит из 2-х семестров, сроки которого определены календарным учебным графиком. Каждый семестр заканчивается зачетно-экзаменационной сессией.\nЗавершается процесс обучения Государственной итоговой аттестацией.\nВашей обязанностью является выполнение всех видов работ, предусмотренных учебным планом.",academics-process
"Где оперативно можно узнать информацию по учебному процессу?","Вся информация по организации учебного процесса (и т.д.) размещена на сайте Университета (расписание занятий/сессии/Государственной итоговой аттестации) и в личном кабинете (перечень дисциплин текущего семестра и академические задолженности, расписание занятий/сессии, тематика курсовых и дипломных работ, баллы, полученные за прохождение тестирований). Оценки отображаются в электронной зачетной книжке (раздел в левом меню).\nКроме этого, в личном кабинете есть раздел «Важная информация», в котором содержатся инструкции и краткие видеоматериалы, посвященные организационным и техническим вопросам обучения. Например, как загрузить письменную работу, как заполнить электронное заявление на присвоение темы курсовой работы или о направлении на практику, как сформировать титульный лист, как получить оценку по дисциплине автоматом, порядок ликвидации академической задолженности и т.д.",academics-info
"Когда начинается семестр у студентов дистанционной технологии обучения?","Дату начала семестра Вы сможете узнать из информационного письма о начале семестра, которое отправляется на почту студента, или обратившись в Центр поддержки.",schedule
"Сколько баллов нужно набрать, чтобы получить положительную оценку по дисциплине?","В личном кабинете в разделе «Важная информация» есть подробная инструкция и видео-инструкция по обучению с применением балльно-рейтинговой системы.\nДля того, чтобы претендовать на получение оценки по дисциплине «автоматом», необходимо сдать каждое из рейтинговых контролей не менее чем на 75 баллов.\nЕсли полученных за рейтинговые контроли баллов недостаточно, то для получения оценки по дисциплине студентам, обучающимся с применением дистанционных технологий, необходимо сдать итоговое тестирование, которое открывается в период зачетно-экзаменационной сессии. При прохождении итогового тестирования положительная оценка ставится, если набрано 50 и более баллов. Более подробно о соответствии набранных баллов той или иной оценке подробно написано в инструкции по обучению с применением балльно-рейтинговой системы.",grading-general
"Я не успеваю сдать тесты/рейтинговые работы в сроки. Что мне делать?","Если вы не сдали какой-то из промежуточных элементов контроля (тесты и/или рейтинговая работа), Вы не сможете претендовать на получение оценки по итогам семестра «автоматом». Для получения оценки по дисциплине необходимо будет сдать экзамен/зачет в период зачетно-экзаменационной сессии, сроки которой указаны рядом с тестированием в вашем личном кабинете. Студенты, обучающиеся по классическим образовательным технологиям, т.е. очно, сдают экзамен/зачет в аудитории преподавателю. Студенты, обучающиеся с применением дистанционных образовательных технологий сдают экзамен/зачет в виде Итогового тестирования, которое открывается в период зачетно-экзаменационной сессии.",grading-support
"Можно ли добавить ещё одну попытку к тестам/рейтинговым работам?","Для прохождения тестирования вам предоставляются две попытки с ограничением по времени (45 минут). Выполнение тестирования допускается не более 2-ух раз в течение установленного календарным учебным графиком периода. Как итоговый учитывается ваш лучший результат из двух попыток.\nРейтинговая работа должна быть выполнена и передана на проверку преподавателю не позднее, чем за 2 недели до начала экзаменационной сессии через личный кабинет. Выполнение обучающимся рейтинговой работы допускается не более одного раза в течение установленного календарным учебным графиком периода. Представленная на проверку работа исправлению не подлежит.",grading-attempts
"Можно ли возобновить попытки загрузки курсовых/практик?","Да, возможно. Для возобновления попытки размещения скорректированной по замечаниям преподавателя работы необходимо обратиться к руководителю курсовой работы/практики. Для этого необходимо кликнуть на фамилию руководителя, на отрывшейся странице, рядом с ФИО преподавателя нажать иконку «Сообщение», при этом справа появится колонка чата с преподавателем.\nПишем сообщение, ждем ответа. Преподаватель видит сообщение и возобновляет попытку размещения работы. Статус работы при этом меняется с «Отправлено» на «Возобновлено».\nОтдельное внимание нужно обратить на то, что попытки обновления курсовой работы/практики не бесконечны. С момента, когда за выполненную курсовую/практику поставлена неудовлетворительная оценка (менее 50 баллов), или в том случае, если работа не была размещена для проверки в том семестре, в котором она предусмотрена, то этот вид учебной работы становится академической задолженностью, которую возможно ликвидировать установленным порядком.\nВ соответствии сп.5 ст.58 ФЗ от 29.12.2012 N 273-ФЗ (ред. от 30.04.2021) «Об образовании в Российской Федерации», «Обучающиеся, имеющие академическую задолженность, вправе пройти промежуточную аттестацию по соответствующим учебному предмету, курсу, дисциплине (модулю) не более двух раз в сроки, определяемые организацией, осуществляющей образовательную деятельность».",submission-attempts
"Где можно найти правила оформления письменных работ?","Методические рекомендации по выполнению письменных работ (рейтинговая, курсовая работа и пр.) размещен в курсе каждой дисциплине, по которой предусмотрено выполнение письменной работы. Общая инструкция по оформлению письменных работ размещена в разделе «Важная информация».",formatting-guidelines
"Как связаться с преподавателем?","Для обращения к преподавателю в личном кабинете есть сервис «Чат». Чтобы обратиться к преподавателю, закрепленному за дисциплиной, необходимо кликнуть на фамилию преподавателя, на отрывшейся странице, рядом с ФИО преподавателя нажать иконку «Сообщение», при этом справа появится колонка чата с этим преподавателем.",support-contact
"Где можно найти образцы заявлений об утверждении тем письменных работ?","Темы рейтинговых работ утверждать не требуется.\nДля утверждения темы курсовой работы необходимо подать электронное заявление через личный кабинет, раздел «Электронные заявления» в левом меню.\nОбразец заявления об утверждении темы ВКР содержится в программе ГИА.",admin-documents
"Нужно ли согласовывать тему курсовой работы?","Да, нужно. Для этого необходимо перейти в раздел «Электронные заявления» в левом меню вашего личного кабинета и заполнить соответствующую электронную форму. Инструкция по заполнению электронного заявления размещена в разделе «Важная информация».",submission-requirements
"В заявлении необходимо указать заведующего кафедрой. Как называется моя кафедра? Кто заведующий моей кафедры?","Просим вас ознакомиться с файлом «Кафедры университета» в вашем личном кабинете в разделе «Важная информация».",admin-procedures
"Где найти программу ГИА/практики?","Чтобы найти программу ГИА/практики, вам нужно кликнуть прямо на строку с названием соответствующего курса. Например, «Защита выпускной квалификационной работы» или «Ознакомительная практика». Вы будете перенаправлены на новую страницу, где нужно выбрать программу вашего года набора и направления подготовки.",academics-info
"Где взять титульный лист со штрихкодом к курсовой/практике/ВКР?","Титульный лист со штрихкодом для вашей работы формируется по запросу в личном кабинете. Для его формирования нужно нажать на кликабельную строку, где указан руководитель вашей курсовой/практики/ВКР, после этого будет осуществлен переход на страницу, где Вы сможете скачать индивидуальный титульный лист.",formatting-guidelines
"Титульный лист представлен в формате PDF. Как его вставить в работу?","В вашем личном кабинете, в разделе «Важная информация» есть видеоинструкция «Как сформировать титульный лист», с пошаговой демонстрацией того, как именно вставить титульный лист в вашу работу.",formatting-guidelines
"Нужно ли согласовывать тему рейтинговой работы?","Для студентов дистанционной технологии обучения тема письменной работы выбирается самостоятельно из предложенного списка, утверждается автоматически преподавателем после получения Вашей выполненной работы. Студенты классических форм обучения получают информацию о порядке утверждения темы рейтинговой работы от преподавателя на занятиях.",submission-requirements
"Как проходит работа над ВКР?","Работа над ВКР начинается с утверждения темы ВКР.\nДля этого необходимо подать заявление на утверждение темы ВКР. Сроки предоставления заявления студенты классических образовательных технологий узнают либо непосредственно в Университете.\nСтуденты, обучающиеся с применением дистанционных образовательных технологий получают информацию из письма на студенческую электронную почту.\nВ письме о начале выпускного семестра на вашей почте студента будет указана дата, до которой вам необходимо предоставить заявление с указанием выбранной темой ВКР. Поданное заявление будет рассматриваться кафедрой. Тема ВКР и информация о назначенном руководителе отобразиться в личном кабинете на экране студента. С этого момента, вы сможете осуществлять работу над ВКР в своём личном кабинете. Вы загружаете работу или часть работы, которую хотите согласовать с руководителем, прямо в курс «Выпускная квалификационная работа», руководитель ВКР проверяет представленный материл, даёт вам свои комментарии и, при необходимости, возобновляет попытку для загрузки.",submission-process
"Что загружать в «Материалы для защиты»?","В «Материалы для защиты» загружается презентация, с которой вы будете защищать свою ВКР. Подробная информация об оформлении презентации представлена в Программе ГИА.",submission-requirements
"Как проверить письменную работу на антиплагиат?","Проверка письменных работ студента на объем заимствований осуществляется преподавателем после представления работы для оценивания в личном кабинете и имеет целью определить степень самостоятельности студента при подготовке работы.\nДля устранения замечаний по объему заимствований Вы должны пользоваться отчетом, сформированным преподавателем. Подготовка письменных работ – это самостоятельная, творческая работа, поэтому предполагается, что они выполняются самостоятельно, и проверки на объем заимствований на сторонних ресурсах не требуют. Проверку уровня оригинальности на сторонних ресурсах Вы осуществляете исключительно по своему желанию, Университет вас к этому не обязывает. За расхождения между показателями оригинальности разных систем Университет ответственность не несет.",submission-requirements
"Что такое практика, и где можно получить информацию о ее прохождении?","Практика студентов Университета является обязательным видом учебной деятельности, направленным на формирование, закрепление, развитие практических навыков и компетенции в процессе выполнения определенных видов работ, связанных с будущей профессиональной деятельностью. Виды практики определяются учебным планом. Календарные сроки практики устанавливаются календарным учебным графиком. Цели и объемы практики определяются программами практик, которые размещены в личном кабинете. Студенты имеют право ходатайствовать о предоставлении им места для прохождения практики от Университета, самостоятельно найти место прохождения практики или проходить практику по месту работы (при условии, что осуществляемая деятельность соответствует профилю подготовки). В случае желания пройти практику в организациях, предлагаемых Университетом, Вам необходимо не позднее, чем за два месяца до ее начала заполнить электронное заявление. Консультацию по вопросам прохождения практик возможно получить в Центре карьеры, практики и трудоустройства.",career-practice
"Как можно сдать академическую задолженность?","Академическую задолженность по дисциплине возможно погасить, сдав Итоговое тестирование в личном кабинете в установленный период, который указан возле него.\nДля погашения академической задолженности по курсовой работе или практике студентам классических технологий обучения необходимо получить допуск в студенческом офисе (каб.107). В период зачетно-экзаменационной сессии допуски для пересдачи неудовлетворительных оценок не выдаются.",grading-support
"Как мне получить зачётно-экзаменационный лист (допуск для сдачи/пересдачи дисциплины)?","Зачетно-экзаменационный лист (допуск) необходимо получать студентам очной формы обучения, только если имеется академическая задолженности по курсовой работе или практике.\nДопуск можно получить в студенческом офисе (каб.107). Выдается он только в день защиты курсовой работы или практики и имеет строго ограниченный срок действия в рамках проведения дополнительной зачетно-экзаменационной сессии, срок которой установлен календарным учебным графиком. Полученный допуск считается реализованной попыткой сдачи экзамена/зачета, даже если Вы не явились на защиту. Допуск передается преподавателю непосредственно на защите курсовой работы или практики.\nВ период зачетно-экзаменационной сессии допуски для пересдачи неудовлетворительных оценок не выдаются.",admin-procedures
"При каких условиях студент может быть отчислен?","Студент подлежит отчислению в случае:\n\n* наличия финансовой задолженности по оплате за обучение;\n* наличия академической задолженности, не ликвидированной в течение года с момента ее возникновения;\n* невыхода из академического отпуска;\n* неявки без уважительной причины на Государственную итоговую аттестацию;- получения неудовлетворительной оценки на Государственном экзамене или защите дипломной работы;\n* нарушения Устава Университета и правил внутреннего распорядка;\nЛюбое из перечисленных условий является основанием для отчисления студента. В случае отчисления студента договор на обучение автоматически расторгается.",admin-procedures
"Где можно узнать свои академические задолженности?","Все свои академические задолженности вы можете увидеть в личном кабинете на главном экране студента. Они размещены чуть ниже дисциплин текущего семестра. Также вы можете уточнить эту информацию в Центре Поддержки.",academics-info
"Как быстро при сдаче академической задолженностей появляются оценки в электронной зачетной книжке?","Оценка, полученная «автоматом» выгружается в первый день зачетно-экзаменационной сессии; оценка за итоговое тестирование по дисциплине будет отражена в электронной зачетной книжке по окончанию сроков доступа к тестированию.",grading-general
"Как я могу пересдать предметы, по которым меня не устраивают оценки?","Пересдать положительную оценку возможно только в том случае, если без учета оценок по этим дисциплинам вы претендуете на получение диплома с отличием.\nДля получения диплома с отличием необходимы следующие условия:\n* количество оценок «хорошо» не должно превышать 25% от общего числа оценок (оценки «зачтено» в расчет не идут), все остальные оценки – «отлично»;\n* оценки по всем видам мероприятий Государственной итоговой аттестации (государственный экзамен и/или защита ВКР) также должны быть «отлично».\nВ случае если несколько оценок мешают получению диплома с отличием, то до начала государственной итоговой аттестации вы имеете право пересдать не более 3 дисциплин на более высокую оценку.\nЗаявление на пересдачу экзамена с целью повышения положительной оценки рассматривается деканатом только на последнем (выпускном семестре) после сдачи Вами всех зачетов и экзаменов, предусмотренных учебным планом. Пересдача экзамена/зачета с оценкой проводится в виде однократного прохождения итогового тестирования по дисциплине. Полученная на пересдаче оценка является окончательной.",grading-attempts
"Как перевестись на другую программу обучения (специальность, форма обучения и т.п.)?","Перевод на другую программу осуществляется строго во время каникул. Для перевода Вы должны предста­вить заявление о переводе лично в Студенческий офис (каб.107) или через заявку в Центр поддержки . После решения о возможности\nперевода, Вами должно быть подписано дополнительное соглашение. Только после\nподписания дополнительного соглашения Вы будете переведены на новую программу\nобучения (специальность, форму и т.п.).",transfer-program
"Как перевестись в другую академическую группу?","Студент обучается в той группе или подгруппе, в которую он зачислен. Перевод из одной группы (подгруппы) в другую может быть разрешён деканом на основании письменного заявления студента. Для оформления перевода заявление передается в Студенческий офис (каб.107) или через заявку в Центр поддержки .",transfer-group
"Академический отпуск. Как его получить?","Если Вам необходим перерыв в обучении, вы можете оформить академический отпуск. Для получения академического отпуска Вам необходимо представить заявление с указанием причин, а также документы, подтверждающих изложенное в заявлении (справка из медицинского учреждения, командировочное удостоверение и т.д.) лично в Студенческий офис (каб.107) или через заявку в Центре поддержки . Не позднее чем за две недели до окончания академического отпуска Вам необходимо представить через заявку в Центре поддержки заявление о допуске к занятиям.",leave-academic
"Мне надо получить справку, характеристику, копию/дубликат документа (студенческого билета, договора, лицензии и т.д.), мне надо заверить документ. Как это сделать?","В Студенческом офисе (каб.107) или Центре поддержки необходимо оставить заявку на\nполучение требуемого документа. О готовности можно узнать по телефону +7 (495)\n500-03-63, а если запрос осуществлялся через заявку в Центре поддержки, то\nинформацию о готовности документа Вы получите в той же заявке.",admin-documents
"Когда выдается академическая справка/справка об успеваемости?","Справка об обучении с результатами успеваемости выдается студенту:\n* после приказа о его отчислении из Университета;\n* по запросу вуза, в который собирается переводиться студент;\n* по личному заявлению студента.\nВ случае наличия вышеуказанных документов заявителю назначается дата для согласования макета справки с результатами успеваемости. После получения согласия о соответствии данных макета, бланк справки оформляется в течение 3-5 рабочих дней.",admin-documents
"Какой диплом выдается по окончании?","Диплом государственного образца о высшем образовании и приложение к нему выдается в случае успешного окончания Университета (отсутствия задолженностей по оплате обучения, успеваемости, письменным работам за весь срок обучения, успешного прохождения Государственной итоговой аттестации). Студентам, имеющим оценку «отлично» не менее чем по 75% всех учебных дисциплин, а по остальным — оценку «хорошо» и прошедшим Государственную итоговую аттестацию с оценкой «отлично», выдается диплом с отличием.",admin-documents
"У моих друзей, которые учатся в других вузах, есть зачетная книжка, а у меня не будет?","Зато информацию о Вашей успеваемости Вы можете в любой момент посмотреть на компьютере или смартфоне при наличии интернета через Ваш личный кабинет. То есть, Вам можно не беспокоиться о том, что Вы могли бы забыть дома или потерять свою зачетку.",academics-info
"Через какое время после сдачи зачета/экзамена моя оценка появится в электронной зачетной книжке?","В течение десяти дней после контрольного мероприятия. У студентов, обучающихся с применением дистанционных образовательных технологий, в течение пяти рабочих дней после окончания сессии.",grading-general
"Мои родители (мой работодатель) интересуются результатами моего обучения. Как я смогу показать им свои оценки после сессии?","Не только после сессии, но и в любой момент Вы можете получить заверенную копию зачетной книжки, подав заявку в Центр поддержки через личный кабинет или обратившись лично в Студенческий офис (каб.107). Если Вам не нужно заверения этого документа, Вы можете самостоятельно распечатать PDF-файл с Вашей зачеткой в личном кабинете.",admin-documents
"Как проверить письменную работу на антиплагиат?","Проверка письменных работ студента на объем заимствований осуществляется преподавателем после представления работы для оценивания в личном кабинете и имеет целью определить степень самостоятельности студента при подготовке работы.\nДля устранения замечаний по объему заимствований Вы должны пользоваться отчетом, сформированным преподавателем. Подготовка письменных работ – это самостоятельная, творческая работа, поэтому предполагается, что они выполняются самостоятельно, и проверки на объем заимствований на сторонних ресурсах не требуют. Проверку уровня оригинальности на сторонних ресурсах Вы осуществляете исключительно по своему желанию, Университет вас к этому не обязывает. За расхождения между показателями оригинальности разных систем Университет ответственность не несет.",submission-requirements